[MCP TEXT METADATA]
MCP code: Aceh
Title: Hikayat Aceh
Edition: Teuku Iskandar (ed.), De Hikajat Atjéh , ’s-Gravenhage: Nijhoff, 1958. Verhandelingen van het Koninklijk Instituut voor Taal-, Land en Volkenkunde, deel 26.
Manuscript: Cod. Or. 1954, Leiden University Library.
Dates: text: ±1600-1625; manuscript: ±1675-1700.
Provenance: text: Aceh; manuscript: unknown.
MCP word count: 37933 words
MCP reference scheme: to the pages (tp, 1-281) and lines of the underlying manuscript.
Editorial notes:
- This old text has many unusual features, which are thoroughly treated in Iskandar's notes. Noteworthy are: Spelling. The Arabic script of the manuscript has many characteristic seventeenth century traits, but these are generally disguised by Iskandar's transcription, upon which the MCP text is based. There are also a few instances of Acehnese influence on normal Malay spelling. Vocabulary. The text has many words which are found rarely or not at all in other Malay sources. Iskandar provides an extensive glossary of rare words, and copious footnotes tracing items of vocabulary to Acehnese, Persian and Arabic origins. Many of these are based on the annotations made earlier on the manuscript by an early Dutch scholar, perhaps Leidecker (before 1701). Morphology. Word formation is sometimes influenced by Acehnese in, for instance, different patterns of nasalisation, and particularly (a) the use of mem- for memb- ; and (b) the use of nasalisation alone in place of the meN- prefix. Also noteworthy are the frequency of the -i verbal suffix, the occasional use of be- for ber-, and some non-standard or complex morphologies like berlihat or sekelamaannya. Iskandar's edition appears carefully prepared and well annotated. It is not a diplomatic edition; indeed this would have been undesirable given the difficulties the text presents. Nevertheless, in a few places where Iskandar has emended the text, I have restored the original reading, always noting Iskandar's emendation as well.
Preparation:
- Added: 1999 - April 2000
- The text was scanned in Canberra by the MCP using Recognita™ OCR, and its spelling modernised.
- The pages of the manuscript are indicated in Iskandar's edition; the lines have been imputed.
MCP text notes:
- Aceh 209:6 | ada | [a]da
- Aceh 144:4 | akan | himpunkandakan, ? = himpunlah akan
- Aceh 172:9 | Akan | MS: Di akan; atau: Dan akan
- Aceh 172:9 | Akan | (Di) akan; atau: Dan akan
- Aceh 141:2 | akan | [a]kan
- Aceh 194:6 | akan | [a]kan
- Aceh 70:16 | 70:16 al-Marhum | al-Mar al-Marhum
- Aceh 259:17 | alat | MS: alah
- Aceh 259:17 | alat | alah
- Aceh 270:13 | Aluran Naga | Uluran Paku
- Aceh 129:9 | anak | [a]nak
- Aceh 186:6 | Anal | atau: Anak
- Aceh 186:6 | Anal | atau: Anak
- Aceh 177:17 | antusan .. Manakah | atau: antusan: "Dengan beperlihatan manakah ..."
- Aceh 171:1 | astakuna | a.s.t.k.w/d.h.n
- Aceh 171:1 | astakuna | a.s.t.k.w/d.h.n
- Aceh 97:3 | asyrafi | as[y]rafi
- Aceh 97:3 | asyrafi | as[y]rafi
- Aceh 169:1 | 1 ayanan | MS: ia nin
- Aceh 169:1 | ayanan | ia nin
- Aceh 180:4 | "Bahwa | MS: pahwa
- Aceh 180:4 | Bahwa | pahwa
- Aceh 96:13 | baiduri | baiduri(m)
- Aceh 96:13 | baiduri | baiduri(m)
- Aceh 1:16 | baik | b.y.y.k
- Aceh 274:2 | "Baik | MS: naik
- Aceh 274:2 | Baik | naik
- Aceh 1:16 | baik | b.y.y.k
- Aceh 2:5 | baludari | = bidadari
- Aceh 183:6 | basah | (di)basah
- Aceh 189:10 | Batak | kadang-kadang: banyak
- Aceh 189:10 | Batak | kadang-kadang: banyak
- Aceh 53:13 | bawai | atau: bawa ia
- Aceh 53:13 | bawai | atau: bawa ia
- Aceh 208:2 | beradu | bera[du]
- Aceh 86:10 | berajuk-ajukkan | aju[k]kan
- Aceh 196:10 | beralat | = berhulu
- Aceh 196:10 | beralat | = berhulu
- Aceh 110:8 | beraraklah | bera[ra]klah
- Aceh 171:1 | berdanta | berdanta(n)
- Aceh 212:8 | berhadap-hadapanlah | hadapanla[h]
- Aceh 167:3 | berhajat | ber[ha]jat
- Aceh 152:2 | beribra | b.r.a.b.r
- Aceh 152:2 | beribra | b.r.a.b.r
- Aceh 27:10 | berjalanlah | berja[la]nlah
- Aceh 155:7 | berjenaka | berjenaka(n)
- Aceh 40:14 | berkerat | berke[r]at
- Aceh 166:16 | berladu | ? = beradu
- Aceh 179:14 | berlayar | berla[yar]
- Aceh 150:3 | bernama | [ber]nama
- Aceh 29:5 | beroléh | b[er]oléh
- Aceh 263:1 | 1 berparanglah | = berperanglah
- Aceh 269:6 | berparanglah | = berperanglah
- Aceh 263:1 | berparanglah | = berperanglah
- Aceh 269:6 | berparanglah | = berperanglah
- Aceh 106:14 | berseluar | berselua[r]
- Aceh 227:13 | bersembahannya | = persembahannya
- Aceh 227:13 | bersembahannya | = persembahannya
- Aceh 185:7 | bersuka-sukaan | bersukal-sukaan
- Aceh 185:7 | bersuka-sukaan | bersukal-sukaan
- Aceh 171:3 | bertampuk | [ber]tampuk
- Aceh 197:9 | bertangkas | = bertangkis
- Aceh 197:9 | bertangkas | = bertangkis
- Aceh 91:6 | 6 bertelap[uk] | bertelepuk
- Aceh 91:6 | bertelapuk | bertelap[uk]
- Aceh 230:15 | berteterapan | bertete[ra]pan
- Aceh 109:3 | bertiat | ? = bertian, bertiti
- Aceh 109:3 | bertiat | ? = bertian, bertiti
- Aceh 44:2 | Besar | Be[s]ar
- Aceh 115:11 | betak | ? tetap
- Aceh 115:11 | betak | ? tetap
- Aceh 210:14 | betapa | MS: tiapa
- Aceh 210:14 | betapa | tiapa
- Aceh 124:11 | beterkuk | ? = beterkup
- Aceh 124:11 | beterkuk | ? = beterkup
- Aceh 27:5 | bicara | bica[ra]
- Aceh 127:7 | bomo | [bo]mo
- Aceh 2:15 | buatkan | kadang-kadang: buankan
- Aceh 2:15 | buatkan | kadang-kadang: buankan
- Aceh 131:9 | cerai | cer[ai]
- Aceh 145:15 | dagang-dagang | dagang(da)-dagang
- Aceh 92:17 | dan | dan dan
- Aceh 117:5 | dan | dan dan
- Aceh 145:8 | dan | ? datang
- Aceh 150:4 | dan | dan dan
- Aceh 280:7 | dan | dan dan
- Aceh 36:17 | dan | da[n]
- Aceh 92:17 | dan | dan dan
- Aceh 117:5 | dan | dan (dan)
- Aceh 145:8 | dan | ? datang
- Aceh 150:4 | dan | dan dan
- Aceh 158:9 | dan | da[n]
- Aceh 185:11 | dan | [d]an
- Aceh 280:7 | dan | dan (dan)
- Aceh 87:9 | dan dua bentuk | MS: dua bentuk dan
- Aceh 87:9 | dan dua bentuk | dua bentuk dan
- Aceh 139:13 | Dang | Da[ng]
- Aceh 274:3 | 3 dapat | MS: tempat
- Aceh 274:3 | dapat | tempat
- Aceh 114:13 | dari | da[ri]
- Aceh 166:15 | dari | da[ri]
- Aceh 184:16 | dari | da[ri]
- Aceh 6:4 | daripada | = di tepi
- Aceh 20:4 | daripada | [dari]pada
- Aceh 229:2 | daripada | da[ri]pada
- Aceh 116:2 | datang | [da]tang
- Aceh 157:13 | demikian | [de]mikian
- Aceh 20:5 | 5 dengan | dengan dengan
- Aceh 20:5 | dengan | dengan dengan
- Aceh 61:9 | dengan | de[ng]an
- Aceh 157:2 | dengan | [de]ngan
- Aceh 166:15 | di | Iskandar: dari
- Aceh 184:16 | di | Iskandar: dari
- Aceh 157:6 | di tepi | s.t.p
- Aceh 69:15 | dia | d[ia]
- Aceh 189:4 | "Diam | MS: dalam
- Aceh 189:4 | Diam | dalam
- Aceh 152:15 | diambilkannya | diambi[l]kannya
- Aceh 159:4 | dibahagi | di[ba]hagi
- Aceh 112:15 | dibawanya | di[ba]wanya
- Aceh 65:6 | dibisukan | = dibisikkan
- Aceh 65:6 | dibisukan | = dibisikkan
- Aceh 101:11 | dibukakan | dibuka[ka]n
- Aceh 102:7 | didapati | (di)didapati
- Aceh 102:7 | didapati | (di)didapati
- Aceh 245:3 | didengar | [di]dengar
- Aceh 133:2 | diduduki | [di]duduki
- Aceh 211:7 | digerak | digera[k]
- Aceh 199:7 | digugurkan | digu[gur]kan
- Aceh 176:12 | dihadkan | atau: dihentikan
- Aceh 8:5 | dihantarkan | [di]hantarkan
- Aceh 157:10 | dihimpunkan | [di]himpunkan
- Aceh 189:11 | diisyaratkan | di[i]syaratkan
- Aceh 29:16 | dijadikannya | dijadi dijadikannya
- Aceh 29:16 | dijadikannya | dijadi dijadikannya
- Aceh 25:12 | dijatuhkan | [di]jatuhkan
- Aceh 117:11 | dikatakan | [di]katakan
- Aceh 189:12 | dilambai | dilam[b]ai
- Aceh 196:11 | dinaikkan | [di]naikkan
- Aceh 23:4 | dipersembahkannyalah | dipersem[b]ahkannyalah
- Aceh 179:2 | Dipertuan | MS: Diperpuan
- Aceh 179:2 | Dipertuan | Diperpuan
- Aceh 227:16 | dirgahayu | di[r]gahayu
- Aceh 127:3 | dironggainya | MS: didongainya
- Aceh 162:3 | disebutnya | MS: d.n.s.t.ny.a
- Aceh 162:3 | disebutnya | d.n.s.t.ny.a
- Aceh 29:2 | disuruhnya | disu[ru]hnya
- Aceh 189:11 | disyaratkan | = diisyaratkan
- Aceh 143:4 | ditahamnya | di[ta]hamnya
- Aceh 272:8 | 8 ditenggahkan | MS: ditanggalkan
- Aceh 272:8 | ditenggahkan | ditanggalkan / ditinggalkan
- Aceh 172:10 | 172:10 dititahkan | watahtakan
- Aceh 172:10 | dititahkan | watahtakan
- Aceh 40:4 | 4 duku | Iskandar: = du-abangku
- Aceh 40:4 | duku | = du-abangku
- Aceh 106:15 | 106:15 dzardzari | z.d.k.r.y
- Aceh 106:15 | dzardzari | z.d.k.r.y
- Aceh 195:14 | Fakih .. Purba | ditografi
- Aceh 265:8 | genderang | gende[ra]ng
- Aceh 237:5 | ghaza | g.z.a
- Aceh 237:5 | ghaza | g.z.a
- Aceh 193:7 | giginya | ? kakinya
- Aceh 193:7 | giginya | giginya, lebih baik: kakinya
- Aceh 201:13 | gurunya | seharusnya: guruku
- Aceh 201:13 | gurunya | seharusnya: guruku
- Aceh 19:9 | hadiah | hadi[ah]
- Aceh 115:14 | hamillah | MS: hasillah
- Aceh 115:14 | hamillah | hasillah
- Aceh 208:4 | hari | ha[ri]
- Aceh 275:17 | hawani | ?, atau: tawani
- Aceh 42:17 | hikayat | hi[k]ayat
- Aceh 144:4 | himpunkan akan | himpunkandakan, ? = himpunlah akan
- Aceh 133:6 | Indera | [Inde]ra
- Aceh 107:7 | iskadham | a.s.k.d.h.m
- Aceh 107:7 | iskadham | a.s.k.d.h.m
- Aceh 67:10 | itu | itu itu
- Aceh 248:6 | itu | itu itu
- Aceh 67:10 | itu | itu (itu)
- Aceh 248:6 | itu | itu (itu)
- Aceh 193:7 | itulah | itu(tu)lah
- Aceh 204:15 | jamu | = jamu
- Aceh 204:15 | jemu | jamu
- Aceh 77:9 | Johan | Jo Johan
- Aceh 77:9 | Johan | Jo Johan
- Aceh 189:1 | kakanda | kakanda(ku)
- Aceh 100:9 | kamardain | kamarda[i]n
