[MCP TEXT METADATA]
MCP code: CJen
Title: Cerita Jenaka
Edition: Cherita Jenaka , edisi baru, Kuala Lumpur: Oxford University Press, 1963.
Provenance: text: Perak, collected by Raja Haji Yahya.
MCP word count: 22389 words, including 23 verses
MCP reference scheme: to the pages (1-96) and lines of the 1963 edition.
Editorial notes and bibliography:
- The text is a collection of five stories, as follows:
- tagpages 1908 ed.pages 1960 ed.pages 1963 ed. Pak KadokCJen.K1-121-111-10 Pak PandirCJen.P14-5014-5111-47 Lebai MalangCJen.M51-5653-5848-52 Pak BelalangCJen.B58-8460-8753-79 Si-LuncaiCJen.L86-10290-10780-96
- This collection of stories was prepared for the Malay Literature Series, and first published in 1908. It is based on material collected and written down by Raja Yahya Haji in Perak, edited and put through the press by Winstedt and Sturrock.
- Ideally the text presented here should be that of the first edition of 1908; however this is not available to me. Instead, the readings of the 1960 and 1963 editions have been compared. The editors of the 1963 edition (perhaps Mohd. Taib Othman) have in some instances adjusted the text to modern tastes, for example, by changing orang Keling to orang India. The 1960 text seems most often to have the harder readings, and therefore I have supposed it to be closer to the original 1908 edition. Consequently, except where the 1960 edition is clearly defective, its readings have been preferred. The significant divergences are listed in the notes. The punctuation has by and large also been aligned with the 1960 edition. Despite this preference for the older edition, the page references are to the more widely available 1983 edition.
References:
- • [Raja Haji Yahya], Cherita Jenaka, iaitu Pa' Kadok, Pa' Pandir, Lebai Malang, Pa' Belalang, Si-Lunchai, ed. R.O. Winstedt & A.J. Sturrock, Singapore: Malayan Publishing House, 1908. Malay Literature Series no.6. Text pp.1-102.
- • [Raja Haji Yahya], Cherita Jenaka, mengandongi cherita2 Pa' Kadok, Pa' Pandir, Lebai Malang, Pa' Belalang, Si-Lunchai, di-susun oleh R.O. Winstedt dan A.J. Sturrock, Singapura: Malayan Publishing House, 1960. Siri Kesusasteraan Melayu, bil.6. Text pp.1-107.
- • Raja Haji Yahya, Cherita Jenaka, edisi baru, di-dasarkan pada naskah Sir R.O. Winstedt dan A.J. Sturrock dengan Kata Pengantar oleh Mohd. Taib Osman, Kuala Lumpur: Oxford University Press, 1963. Text pp.1-96.
Preparation:
- Added: July 2007
- The text of the 1963 edition was scanned in Canberra by the MCP using Recognita™ OCR, and its spelling modernised. It was then edited against the text of the 1980 edition.
MCP text notes:
- CJen.B 64:22 | Adakah | 1960 ed.: Adalah
- CJen.K 8:21 | aku | 1963 ed.: perbuatanku
- CJen.K 7:10 | apa | 1963 ed.: tidak ada
- CJen.L 83:32 | apa | 1963 ed.: ada
- CJen.L 93:18 | ayahanda-bundaku | 1963 ed.: bunda
- CJen.B 71:20 | Bahrum | 1963 ed.: Baharum
- CJen.L 95:18 | baik | 1963 ed.: baiklah
- CJen.P 44:17 | barang siapa-siapa | 1963 ed.: barangsiapa
- CJen.P 30:27 | berat | 1960 ed.: beras [ sic ]
- CJen.K 4:26 | bercampang-camping | bercampang-camping 1960 ed.: bercamping-camping
- CJen.P 13:27 | berhulu | 1960 ed.: berulu
- CJen.P 23:20 | berlaung | 1963 ed.: melaung
- CJen.P 25:24 | bersungguhnya | 1963 ed.: bersungguh-sungguhnya
- CJen.B 63:17 | Bertuahlah | 1963 ed.: Betullah
- CJen.B 62:20 | beta | 1963 ed.: [ absent ]
- CJen.B 79:10 | beta | 1963 ed.: besar
- CJen.M 51:10 | betul | 1963 ed.: betul-betul
- CJen.K 1:15 | betulnya | 1963 ed.: tololnya
- CJen.M 51:11 | bogel | 1960 ed.: bugil (bogel)
- CJen.M 52:7 | bogel | 1960 ed.: bugil (bogel)
- CJen.P 41:27 | budak kundang | 1963 ed.: kundang-kundang
- CJen.P 12:27 | dahsyatnya | 1963 ed.: dahsyatnya itu
- CJen.M 48:14 | demikian | 1963 ed.: demikianlah
- CJen.P 35:15 | Demikian juga | 1963 ed.: Ikan-ikan yang dapat semua
- CJen.B 72:12 | dengan | 1963 ed.: [ absent ]
- CJen.P 11:5 | dengunya | 1963 ed.: dungunya
- CJen.K 2:1 | di | 1963 ed.: [ absent ].
- CJen.P 38:24 | diambilnyalah | 1963 ed.: diambilnya
- CJen.P 34:8 | Diangkutkannya | 1963 ed.: Diangkutnya
- CJen.M 52:27 | dibaham | 1960 ed.: dibahan [ sic ]
- CJen.P 40:7 | dibakar | 1963 ed.: dibakarnya
- CJen.B 59:32 | didengar oleh baginda perkataan itu, maka ia pun | 1963 ed.: [ absent ]
- CJen.B 56:15 | didengarlah | 1963 ed.: didengar
- CJen.B 64:17 | didengarnya | 1963 ed.: didengar
- CJen.B 77:31 | dihalakannya | 1960 ed.: dihalalkannya [ sic ]
- CJen.P 40:11 | dihirisnya | 1963 ed.: diirisnya
