[MCP TEXT METADATA]
MCP code: NJoh
Title: Hikayat Negeri Johor
Edition: Ismail Hussein (ed.), “‘Hikayat Negeri Johor’, A Nineteenth Century Bugis History relating events in Riau and Selangor”, in A History of Johore etc. , MBRAS Reprints, no.6, Kuala Lumpur: MBRAS, 1979, pp.181-240.
Manuscript: Cod.Or. 1741(2), Leiden University Library.
Dates: text: 1810; manuscript: 1849.
Provenance: text & manuscript: Riau.
MCP word count: 13484 words.
MCP reference scheme: to the pages (1-36) and lines of the manuscript, as indicated in the printed edition.
Editorial notes and bibliography:
- Ismail Hussein remarks (pp.187-88):
- “The title ‘Hikayat Negeri Johor’ is a misnomer, for the hikayat is not about the country or the rajas of Johor, but about the Bugis rajas in Riau; and the last part concerns the rajas of Bugis descent in Selangor. ... The title in manuscript D: ‘This is the history of the sultan in Teluk Ketapang’ is more appropriate ... for the person playing the main role in the hikayat is Raja Haji Marhum Teluk Ketapang. Nevertheless attention is focussed not only on the wars between Raja Haji and the Dutch which ended in his own death, but also on his other activities: his wanderings, wars and relationships with other rajas in the Malay archipelago are also mentioned. The ‘Hikayat Negeri Johor’ is a hikayat of Riau, because it traces the history of the expansion of Bugis power in Riau from the beginning until its decline when it finally succumbed to Dutch power. The events concerning the Malay sultans of Johor are mentioned in the beginning only to provide the background to conditions in Johor ... at the time before the coming of the five Bugis rajas. ... When the Bugis rajas have gained power in Riau, attention is no longer given to Peninsular Johor.
- “The last part of the Hikayat Negeri Johor is focussed upon events in Selangor, because when Riau had been conquered, the Bugis rajas still maintained their influence there. It was as though Selangor carried on the glorious Bugis power now defunct in Riau.”
- The edition mentions variant readings in three other manuscipts, namely However the MBRAS publication is apparently defective. Some of the editor’s notes are missing.
- "Naskhah B": Von de Wall 193, Perpustakaan Nasional RI, Jakarta;
- "Naskhah C": Cod.Or. 3322, Leiden University Library;
- "Naskhah D": Von de Wall 192, Perpustakaan Nasional RI, Jakarta.
- The editor has made many emendments, adding material indicated [ ] from readings in the parallel texts. In preparing the text for the MCP, acceptable readings found in Naskhah A have been restored in a few instances.
- Ismail gives jawi readings for many proper names, and these have usually been noted. However, a number do not present unusual jawi forms, and these have been passed over.
References:
- R.O. Winstedt, Journal of the Malayan Branch, Royal Asiatic Society, 10.1 (1932): 164-201. — A jawi-script edition conflating two manuscripts with editorial changes by Winstedt. Ismail deprecates the quality of this work.
Preparation:
- Added: February 2008
- The text was scanned in Canberra by the MCP using Recognita™ OCR, and its spelling occasionally modernised.
MCP text notes:
- NegJoh 16:6 | `Alam | `.a.l.y.m
- NegJoh 30:6 | `Alam | `.l.y.m
- NegJoh 9:8 | alif | B,C,D
- NegJoh 14:13 | Amaran | a.m.a.r.a.n
- NegJoh 22:15 | Amat | a.m.t
- NegJoh 19:7 | Andak | a.n.d.k
- NegJoh 7:16 | Anderas | a.n.d.r.s
- NJoh 14:3 | Andud | s.y a.n.d.w.d
- NegJoh 15:11 | Awal | a.w.a.l
- NegJoh 10:24 | Bani | b.a.n.y, ?
- NegJoh 24:2 | Belanda | baginda [sic], other MSS: Belanda
- NegJoh 8:20 | [belas] | from MSS B,C
- NegJoh 13:15 | Berlawan | b.r.l.a.w.a.n
- NegJoh 1:15 | Biji | b.y.j, C: b.y.j.y
- NegJoh 28:4 | Bopeng | b.w.p.y.ng
- NJoh 18:7 | "Bulung | b.w.w.ng, others: b.w.l.ng
- NegJoh 6:12 | Busu | b.w.s.w
- NegJoh 21:20 | Cinaku | c.y.n.a.k.w
- NegJoh 33:6 | daripada | HI: kepada
- NegJoh 13:1 | Datuk | datang
- NegJoh 10:12 | dua | d.a.n
- NJoh 29:20 | empat lima puluh | empat puluh lima
- NJoh 13:22 | Gafar{+ghafar} | g.a.f.r
- NJoh 24:10 | gontong | k.w.n.t.ng
- NegJoh 11:10 | Haris | h .a.r.a.s, other MSS: j.a.r.s
- NegJoh 12:21 | Hawi | h.a.w.y
- NegJoh 5:6 | Hisak | k.y.s.k
- NegJoh 3:5 | Irang | a.y.r.ng
- NegJoh 34:11 | Jambul | j.m.b.w.a.l
- NegJoh 27:6 | Jawa | j.a.w.a
- NegJoh 13:20 | Jema´ | J.m.´
- NegJoh 8:6 | Jumaat | IH: Khamis
- NJoh 12:3 | Kasad | k.s.d
- NegJoh 13:8 | kawin | k.a.w.a.n
- NegJoh 13:15 | kawin | k.a.w.a.n
- NegJoh 13:8 | Kembuk | g.m.w.´, other MSS: k.m.b.w.´
- NegJoh 10:18 | kepala | k.f.a.l, ?
- NegJoh 3:16 | Kesan | k.s.n
- NegJoh 7:5 | kotaknya | k.w.m.t.y.ng.ny
- NegJoh 4:12 | Kupat | k.w.f.t
- NegJoh 11:3 | Kupat | k.w.f.y.t, other MSS: k.w.f.t
- NegJoh 10:14 | Kurus | k.w.r.s
- NegJoh 12:3 | Kurus | k.w.r.s
- NegJoh 16:11 | La Mandang | l.a.m.n.d.ng
- NegJoh 30:12 | Lenga | l.ng.a
- NegJoh 18:4 | Lijah | l.y.j.h
- NegJoh 16:20 | Linggi | l.ng.g.y
- NegJoh 5:1 | luka | k.w.k.a
- NegJoh 2:7 | Maharaja | HI: Maharaj
- NegJoh 21:2 | mangkat | m.ng.t.a
- NegJoh 13:15 | Mastika | m.s.t.y.k
- NegJoh 16:10 | Medu | m.d.w.´
- NegJoh 7:4 | memantu | > menanti
- NJoh 11:24 | Meriam | m.r.y.h/d, C: Meriam
- NegJoh 15:12 | Miskin | m.s.k.y.n
- NegJoh 27:17 | Muntuk | m.n.t.k
- NegJoh 27:15 | Nala | n.a.l.a
- NegJoh 2:13 | Narawangsa | other MSS: Tarangi
- NegJoh 24:16 | Negara | n.g.a.r.a
- NegJoh 27:12 | Ngah | HI and other MSS: Engah
- NJoh 13:8 | Omok | a.w.m.w.´
- NegJoh 6:12 | Onok | a.w.n.w
- NegJoh 7:17 | Onok | a.w.t.w.´
- NegJoh 22:16 | Onok | a.w.n.w.´
- NJoh 8:1 | Pang Tilas | p.ng t.y.l.s
- NegJoh 21:11 | Pelandak | f.l.n.d.k
- NegJoh 30:9 | Pernu | f.r.n.w
- NJoh 22:13 | putera | p.t.r.a: Jarang sekali digunakan puteri di dalam semua naskhah-naskhah. Ejaan kerapkali p.t.r.a, kadang-kadang p.t.r
- NegJoh 22:15 | Putera | p.w.t.r.y
- NegJoh 22:15 | Putera | p.t.r.a
- NegJoh 5:20 | Rampai | r.m.p.y
- NegJoh 12:12 | Sabtu | s.b.t
- NegJoh 11:14 | Sakuni | s.k.w.n.y
- NegJoh 27:18 | Sanggau | s.ng.g.w
- NegJoh 21:11 | Sazak | s.z.k
- NegJoh 11:17 | Sedu | s.d.w
- NJoh 14:13 | Sejuk | s.j.w.´
- NegJoh 27:14 | Selamah | s.l.a.m.h
- NegJoh 30:12 | Selekang | s.l.y.k.ng
- NegJoh 7:10 | selut | ? selup
- NegJoh 18:5 | seret | s.w.r.y.k
- NegJoh 13:22 | "Si-Sulang | s.y.w.l.ng
- NegJoh 15:12 | Siliwatang | s.y.l.y.w.a.t.ng
- NegJoh 31:13 | Siti | s.t.y
- NegJoh 8:1 | sugi | s.w.g.y
- NegJoh 31:8 | Sukadana | s.k.w.d.a.n.a
- NegJoh 8:1 | suku | s.l.w.k.y
- NegJoh 26:19 | Suluh | l.a.s.w.l.h
- NegJoh 10:14 | Sus | s.w.s
- NegJoh 4:8 | Tampukan | k.t.a.q.k.n
- NegJoh 7:4 | Taran | t.a.r.m
- NegJoh 2:8 | Terini | t.r.y.n.y
- NegJoh 31:4 | Timojong | t.y.w.j.ng
- NegJoh 27:8 | To´ Ku | other MSS: Tengku
- NegJoh 16:2 | Tomo´ | t.w.m.y.k
- NegJoh 11:12 | Tomok | t.w.m.w.´
- NegJoh 15:8 | Tomok | t.w.m.w.´
- NegJoh 20:21 | Tomok | t.m.w.´
- NegJoh 8:10 | Tuatuk | t.w.a.t.w.´
- NegJoh 30:13 | Tuling | t.w.l.y.ng
- NegJoh 5:15 | Tun Ku | t.n k.w
- NegJoh 5:17 | Uban | a.b.n
- NegJoh 21:11 | Ukang | a.w.k.ng
- NegJoh 26:19 | Uluk | l.a.´.w.l.w.´
- NegJoh 36:2 | Ungkat | a.w.ng.g.t
- NegJoh 14:15 | Usah | a.w.s.h
- NegJoh 6:20 | ya | MS B: ha
Source bibliography: https://mcp.anu.edu.au/N/NJoh_bib.html
Source text notes: https://mcp.anu.edu.au/N/NJoh_notes.html
[END MCP TEXT METADATA]
