[MCP TEXT METADATA]
MCP code: Pel
Title: Hikayat Pelanduk Jenaka
Manuscript: MS Mal.-Pol. 70, Département des manuscrits, Bibliothèque nationale, Paris.
Dates: text: unknown; manuscript: about 1650.
Provenance: text: unknown; manuscript: ? east Java.
MCP word count: 6702 words.
MCP reference scheme: to the extant pages (2-74) and lines of the manuscript.
MCP text notes:
- Pel 49:2 | aur | awar
- Pel 62:4 | bagai | ba ][ bagai
- Pel 28:7 | bawa | bawa
- Pel 74:1 | berjalan | rakibah
- Pel 55:9 | berjalanlah | pun ber ][ pun berjalan
- Pel 25:7 | berkata | ber(a)kata
- Pel 26:5 | Bolehkah | ber[kata bo]leh kah
- Pel 63:5 | cucunya | cucu ][ cucunya
- Pel 54:3 | datanglah | datlah datanglah
- Pel 22:4 | demikian | de ][ demikian
- Pel 59:4 | dera-dera | = deras
- Pel 19:3 | dikawalah | = dikawallah
- Pel 67:7 | diludahinya | diludah[i]nya
- Pel 56:8 | gajah | ga[jah]
- Pel 59:8 | gempa | (a) gempa
- Pel 73:7 | hamba. Hamba | hamba2
- Pel 40:4 | hendak | hend[ak]
- Pel 11:7 | ia pun | ? seharusnya: itu pun
- Pel 57:6 | "Inikah | for: inilah
- Pel 59:6 | Inikah | seharusnya: inilah
- Pel 66:10 | isi rimba | isi rimba ][ isyi rimba
- Pel 3:4 | itu | itu itu
- Pel 24:1 | juata | = juita
- Pel 36:2 | Kak | ? Kaf
- Pel 67:9 | kakinya | ka ][ kaki
- Pel 73:7 | kata | kata ka
- Pel 32:3 | kata raja kera | kata kera raja kera
- Pel 72:4 | laki-laki | lagi2
- Pel 72:7 | laki-laki | lagi2
- Pel 72:10 | laki-laki | lagi2
- Pel 62:6 | lihat | lih ][ lihat
- Pel 19:10 | ma`lum | manglum
- Pel 14:3 | Maka .. itu | dittography
- Pel 71:6 | maka | maka (maka)
- Pel 26:10 | maka pelanduk | maka pelanduk ][ maka pelanduk
- Pel 31:4 | makan | maka[n]
- Pel 60:9 | makaranya | makar[a]nya
- Pel 24:7 | 7 memanggili | .m.m.ng.g.a.l
- Pel 25:5 | memanggili | memenggali
- Pel 37:5 | menaklukkan | mena[k]lukkan
- Pel 68:8 | mengamuk | mengal ][ mengamuk
- Pel 61:9 | mengelat | m.ng.y.k.t, for: m.ng.y.l.t
- Pel 62:1 | mengelat | m.ng.y.k.t, for: m.ng.y.l.t
- Pel 62:2 | mengelat | m.ng.y.k.t, for: m.ng.y.l.t
- Pel 73:8 | mengiringkan | mengiri[ng]kan
- Pel 17:6 | menolakkan | seharusnya: menaklukkan
- Pel 28:9 | muka | mu[ka]
- Pel 56:1 | padang, padang | padang2
- Pel 51:7 | panjang | pan.. ][ panjang
- Pel 9:7 | pelanduk | MS: pelandu[k]
- Pel 18:7 | pelanduk | MS: peland[uk]
- Pel 24:10 | pun | pu[n]
- Pel 28:9 | putasy | ? = putus
- Pel 34:10 | raja | raja ][ raja
- Pel 50:6 | raja | (a) raja
- Pel 68:10 | sabdaku | seharusnya: sabdanya
- Pel 41:7 | sebuah | s.w.h
- Pel 41:8 | sebuah | s[eb]uah
- Pel 10:4 | sekalian | segala
- Pel 71:9 | sekh rimba, sekh rimba | sekh rimba2
